ID	Hardness	Diameter	T-Flour	B-Flour	SRC-W
GID55	71.97715973	2.772402735	69.48173666	43.29340791	64.95453816
GID56	64.47758721	2.603689173	68.9744292	47.1231872	57.36594793
GID57	62.1927436	2.692924838	68.96618461	49.41148913	57.1894427
GID58	60.3971309	2.530589912	70.37316343	52.29824735	57.9133973
GID59	63.47207884	2.709247919	70.90317098	51.0483323	58.92953498
GID60	59.76690062	2.584650685	70.37192373	50.77590475	58.50735408
GID61	58.42546434	2.448341024	70.98868707	52.12614048	55.97201416
GID62	68.05812412	2.531872727	71.26480854	49.98448649	57.46558492
GID63	63.99957465	2.673064151	70.15029803	47.12287328	58.09697387
GID64	63.45860567	2.425629897	70.1568761	51.20765209	57.81638893
GID65	63.39086928	2.56805881	68.99278466	48.13316272	59.70796742
GID66	63.290637	2.64953319	69.29334287	49.53436853	56.91262305
GID67	62.89521801	2.472581139	67.74057914	50.11808797	58.80554341
GID68	78.24311583	2.511886159	68.46291776	43.88956056	61.59290547
GID69	66.47659821	2.592995668	69.21927735	48.38888735	59.29447154
GID70	64.21232523	2.66037417	69.91622432	47.92325421	60.91382925
GID71	68.75157836	2.671170383	67.63550987	45.34752553	61.73254309
GID72	59.53480391	2.70914776	69.34629186	48.36669907	60.56561224
GID73	68.09314369	2.668988046	69.68181931	47.19676958	61.80849765
GID74	65.86533013	2.762270543	69.51691117	46.43132506	63.78650603
GID75	71.20775296	2.637911271	69.04716622	46.50373998	61.16768944
GID76	65.27914096	2.413792987	70.23211809	48.59506448	55.96063302
GID77	63.85887651	2.456826675	68.24415947	48.94771706	57.03038665
GID78	67.0823934	2.368070129	69.11389539	50.10641219	55.92204308
GID79	66.10166642	2.824546237	68.13078612	45.89932153	59.33192183
GID80	60.90005629	2.468215273	71.11794668	52.27506843	56.46923949
GID81	62.12998258	2.483666961	70.91005947	51.28261595	58.61122178
GID82	68.36845768	2.692340542	71.56005289	48.72765006	59.31441612
GID83	70.63868093	2.633018373	71.83352542	48.66069198	59.71894826
GID84	66.30517816	2.695071194	71.92891962	48.50035757	60.10145004
GID85	61.48839582	2.638512533	72.36544554	50.61364463	57.91761745
GID86	74.92273024	2.640490031	68.6432498	43.71280422	62.96877141
GID87	71.72457354	2.503995776	70.6305914	49.85801903	59.46260695
GID88	59.96897654	2.624485641	71.83051184	51.82450788	58.92445771
GID89	63.07468113	2.665435056	72.96954321	49.83329027	58.83947893
GID90	68.44930601	2.687176641	68.97207164	47.47283394	61.41381565
GID91	59.20204042	2.63990766	67.39683985	46.15918859	58.13573275
GID92	63.93989144	2.653504308	72.36405624	50.06768598	62.14787869
GID93	61.33556763	2.662273045	69.11784199	51.14905937	59.74333248
GID94	83.11433449	2.583783655	64.15041825	37.50697509	66.08896153
GID95	79.91316769	2.388901758	66.85030519	43.16340786	63.46378922
GID96	71.99660449	2.683104655	69.782242	50.624068	59.35706756
GID97	68.92007269	2.678523414	69.386292	47.45800397	63.95833645
GID98	68.96299503	2.590903527	68.79185224	46.86913791	63.4633011
GID99	70.87094066	2.54517627	69.03959308	47.89798777	63.6956883
GID100	67.60242561	2.562641492	65.29168999	45.4126837	62.5367339
GID101	53.84894008	2.716163221	69.26334468	51.40457562	60.55843454
GID102	71.59824971	2.672187612	69.09791984	46.3725937	63.45156317
GID103	68.57144762	2.762844417	67.5225219	44.25544727	64.3980131
GID104	79.74182149	2.683821655	67.23315094	41.96201771	62.7603721
GID105	69.88907297	2.612327323	68.32826819	45.69037241	64.06882972
